Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Age,Seniority,Total_Spending,Total_Purchases,Accepted_Total,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
-1.2474346201780644,1,0,0.0665247732286369,-0.8590458909059164,-0.6626015235349434,-0.6906937900017878,-0.6800685695945476,-0.6024691654030272,-0.6761133601671541,1,1,1,2,8,0,0,0,0,0,0,-0.005582955214962636,-0.1383752275077903,-0.9463464589948546,-1.2846434169260088,-0.44063125659122476,0,1,0,0,1,0,0,0
-0.8590002475466174,0,1,1.448475863503082,-0.8144657298990697,-0.38566354818407655,-0.592898289391888,-0.44134953160400875,-0.5050331814843614,-0.285640130980885,1,2,0,4,4,0,0,0,0,0,0,0.2522918210072123,-0.16319003942518553,-0.8045129572296382,-1.0233401719365605,-0.44063125659122476,0,0,1,0,1,0,0,0
-0.9907737509489642,1,1,1.3793783089893599,-0.8828219767762346,-0.6122491643802404,-0.7218105401958469,-0.6433425637498494,-0.6268281613826937,-0.3637347768181388,1,1,0,2,6,0,0,0,0,0,0,-0.6072907664000375,-0.5800788796374254,-0.9396719412647268,-1.415295039420733,-0.44063125659122476,0,1,0,0,1,0,0,0
0.34312262636416285,0,2,1.3102807544756376,0.06822145803649479,-0.43601590733877965,-0.19727103692456602,-0.33117151406991385,-0.3101612136470297,0.7686375878220415,5,5,2,9,6,0,0,0,0,0,0,0.5961248559701122,-0.27237521186172453,-0.050292453725193406,0.8057825429895785,-0.44063125659122476,0,0,1,0,0,1,0,0
-0.23381390683999778,2,1,1.5521221952736655,-0.7817736118273821,-0.6626015235349434,-0.6640222898354515,-0.6249795608275003,-0.6268281613826937,-0.5394477299519599,2,1,1,3,3,0,0,0,0,0,0,-0.6932490251407625,-0.6867825708822249,-0.8779326522610443,-1.0233401719365605,-0.44063125659122476,0,1,0,0,0,0,1,0
-0.8991928056408989,0,0,-0.3826093311105578,-0.4073002593698699,-0.33531118902937346,0.06055346468335167,0.8991496817274791,-0.33452020962669615,0.5148299888509666,2,7,3,5,8,0,0,0,0,0,0,0.3382500797479373,0.812032068928447,-0.1253807781891315,0.28317605301068166,-0.44063125659122476,0,0,0,1,0,0,1,0
-0.0665791371470087,1,1,-1.3499750943026694,-0.020938863977198595,-0.6626015235349434,-0.5706720392532744,-0.44134953160400875,-0.6511871573623601,2.11577022851467,7,5,4,4,6,1,0,0,0,0,0,1.2837909258959121,0.08247659855702726,-0.17377103173255826,0.6751309204948542,1.033090511708265,0,1,0,0,1,0,0,0
1.3040901517092547,0,1,-0.5899019946517245,0.3297584026099954,-0.5367206256481858,-0.1883805368691206,-0.40462352575931043,0.20137770192596596,-0.6370660372485272,1,5,2,11,3,0,0,0,0,0,0,0.9399578909330122,-0.18552337015084125,0.0014350586832972809,0.5444792980001301,-0.44063125659122476,0,0,0,1,0,1,0,0
-1.1696259500211863,1,0,-1.1081336535046415,-0.8917380089776039,-0.6374253439575919,-0.6906937900017878,-0.6800685695945476,-0.6511871573623601,-0.8323026518416616,1,1,0,2,7,0,0,0,0,0,0,-0.1774994726964126,-0.7215233075665782,-0.9797190476454938,-1.415295039420733,-0.44063125659122476,0,1,0,0,0,1,0,0
0.3986333272286424,0,1,0.41201254579724816,0.1811578659205064,-0.5870729848028888,-0.672912789890897,-0.6066165579051511,-0.5781101694233607,-0.6370660372485272,5,7,2,5,6,0,0,0,0,0,0,-0.34941599017786257,-0.5726344360622069,-0.33896534555322205,0.5444792980001301,-0.44063125659122476,0,0,1,0,1,0,0,0
-0.18767210063618986,0,1,0.7920490956227206,0.5972393686510755,-0.6626015235349434,-0.6240150395859471,-0.6800685695945476,-0.6511871573623601,0.6124482961475338,5,7,4,6,6,0,1,0,0,0,0,0.7680413734515622,0.598624686438848,0.0031036881158292384,0.9364341654843027,1.033090511708265,0,1,0,0,0,0,0,1
